,Gene/Region,GRCh37,"HI Score","TS Score",OMIM,Morbid,%HI,pLI,LOEUF,"Last Eval."
R,"22q11.21 population region (DGV_Gold_Standard_June_2021_gssvL76981)",22:20428070-20499197,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.21 population region (DGV_Gold_Standard_June_2021_gssvL77047)",22:21812558-21916568,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.21 population region (DGV_Gold_Standard_June_2021_gssvL77049)",22:21711480-21742055,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.21 population region (DGV_Gold_Standard_June_2021_gssvL77050)",22:21866876-21909287,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.21 population region (gnomAD-SV_v2.1_DEL_22_181316)",22:18738599-18747000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.21 population region (gnomAD-SV_v2.1_DEL_22_181446)",22:20366424-20371500,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.21 population region (gnomAD-SV_v2.1_DEL_22_181452)",22:20451599-20457600,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.21 population region (gnomAD-SV_v2.1_DEL_22_181459)",22:20693999-20699000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.21 population region (gnomAD-SV_v2.1_DEL_22_181532)",22:21562199-21569400,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.21 recurrent (Cat eye syndrome) region (includes CECR2)",22:17392953-18591860,"0 (No Evidence)","3 (Sufficient Evidence)",,,‐,‐,‐,02/27/2014
R,"22q11.22 population region (DGV_Gold_Standard_June_2021_gssvL77120)",22:23223448-23238992,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.23 population region (DGV_Gold_Standard_June_2021_gssvG24415)",22:25703259-25785235,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/03/2021
R,"22q11.23 population region (DGV_Gold_Standard_June_2021_gssvL77238)",22:24360812-24402386,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.23 population region (DGV_Gold_Standard_June_2021_gssvL77244)",22:24314289-24334833,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.23 population region (gnomAD-SV_v2.1_DEL_22_181670)",22:24274143-24311297,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.23 population region (gnomAD-SV_v2.1_DEL_22_181679)",22:24315999-24323000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.23 population region (gnomAD-SV_v2.1_DEL_22_181680)",22:24324299-24334200,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q11.23 population region (gnomAD-SV_v2.1_DEL_22_181682)",22:24344399-24397000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"22q13.1 population region (gnomAD-SV_v2.1_DEL_22_182715)",22:39358308-39388415,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/03/2021
R,"2p11.2 population region (DGV_Gold_Standard_June_2021_gssvL64414)",2:90005834-90052218,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"2p11.2 population region (DGV_Gold_Standard_June_2021_gssvL64418)",2:90044551-90102805,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"2p11.2 population region (DGV_Gold_Standard_June_2021_gssvL64421)",2:89459244-89512939,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"2p11.2 population region (DGV_Gold_Standard_June_2021_gssvL64445)",2:90249376-90275932,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"2p11.2 population region (DGV_Gold_Standard_June_2021_gssvL64458)",2:90044437-90061011,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"2p11.2 population region (DGV_Gold_Standard_June_2021_gssvL64514)",2:90160287-90163570,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"2p11.2 population region (gnomAD-SV_v2.1_DEL_2_19888)",2:87242199-87253600,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"2p15p16.1 region (includes BCL11A)",2:59139200-62488871,"3 (Sufficient Evidence)","1 (Little Evidence)",,,‐,‐,‐,06/09/2016
R,"2p21 region (includes PREPL and SLC3A1)",2:44410272-44589641,"30 (Autosomal Recessive)","0 (No Evidence)",,,‐,‐,‐,03/21/2012
R,"2p24.3 MYCN-DDX1 duplication region",2:15708677-16185337,"Not Yet Evaluated","2 (Emerging Evidence)",,,‐,‐,‐,08/07/2017
R,"2q11.2 recurrent region (includes ARID5A, LMAN2L)",2:96739012-97671429,"1 (Little Evidence)","1 (Little Evidence)",,,‐,‐,‐,02/28/2020
R,"2q13 recurrent region (includes BCL2L11)",2:111392193-113104742,"2 (Emerging Evidence)","2 (Emerging Evidence)",,,‐,‐,‐,06/23/2018
R,"2q13 recurrent region (includes NPHP1)",2:110862108-110983703,"30 (Autosomal Recessive)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,02/25/2016
R,"2q21.1 population region (DGV_Gold_Standard_June_2021_gssvL66075)",2:130793882-130823249,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"2q21.1 population region (gnomAD-SV_v2.1_DEL_2_22133)",2:130953999-130959000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"2q21.1 population region (gnomAD-SV_v2.1_DEL_2_22135)",2:130954938-130957387,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"2q21.1 population region (gnomAD-SV_v2.1_DEL_2_22155)",2:131236999-131242000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"2q21.1 population region (gnomAD-SV_v2.1_DEL_2_22156)",2:131248899-131254600,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"2q21.1 population region (gnomAD-SV_v2.1_DEL_2_22163)",2:131412799-131430000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"2q21.1 recurrent region (includes ARHGEF4, GPR148)",2:131477509-131929693,"1 (Little Evidence)","0 (No Evidence)",,,‐,‐,‐,09/30/2019
R,"2q21.2 population region (gnomAD-SV_v2.1_DEL_2_22275)",2:132519999-132529000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"2q21.2 population region (gnomAD-SV_v2.1_DUP_2_6167)",2:132853576-133213563,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/06/2021
R,"2q37.3 population region (DGV_Gold_Standard_June_2021_gssvL70815)",2:242872862-243012181,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"2q37.3 terminal region (includes HDAC4)",2:239954693-242930600,"3 (Sufficient Evidence)","0 (No Evidence)",,,‐,‐,‐,06/13/2016
R,"3 copies: 15q telomere",15:102161480-102521392,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,11/26/2013
R,"3 copies: 16p centromere",16:34202088-35147508,"40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/01/2013
R,"3p12.3 population region (DGV_Gold_Standard_June_2021_gssvL82397)",3:75422907-75644624,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"3p12.3 population region (DGV_Gold_Standard_June_2021_gssvL82434)",3:75567345-75581692,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"3p12.3 population region (gnomAD-SV_v2.1_DEL_3_33722)",3:75767999-75796000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"3q11.2 population region (DGV_Gold_Standard_June_2021_gssvL83303)",3:97878295-97923426,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"3q11.2 population region (DGV_Gold_Standard_June_2021_gssvL83307)",3:97887492-97919334,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"3q24 Region (includes ZIC1)",3:136403035-148341113,"3 (Sufficient Evidence)","0 (No Evidence)",,,‐,‐,‐,07/19/2021
R,"3q25.31 population region (DGV_Gold_Standard_June_2021_gssvL85294)",3:155478166-155498646,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"3q29 population region (DGV_Gold_Standard_June_2021_gssvG26791)",3:195376588-195493533,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/06/2021
R,"3q29 population region (DGV_Gold_Standard_June_2021_gssvL86947)",3:195380278-195469564,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"3q29 recurrent region (includes DLG1)",3:195756054-197344662,"3 (Sufficient Evidence)","2 (Emerging Evidence)",,,‐,‐,‐,01/21/2016
R,"4p11 population region (DGV_Gold_Standard_June_2021_gssvG27527)",4:49489242-49524812,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/06/2021
R,"4p11 population region (DGV_Gold_Standard_June_2021_gssvL90109)",4:49177189-49249875,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"4p16.1 population region (DGV_Gold_Standard_June_2021_gssvG27165)",4:9417997-9457368,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/06/2021
R,"4p16.1 population region (DGV_Gold_Standard_June_2021_gssvL88361)",4:9486907-9516088,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"4p16.3 terminal (Wolf-Hirschhorn syndrome) region",4:331568-2010962,"3 (Sufficient Evidence)","2 (Emerging Evidence)",,,‐,‐,‐,08/11/2016
R,"4q13.2 population region (DGV_Gold_Standard_June_2021_gssvL90978)",4:70134832-70270391,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"4q13.2 population region (gnomAD-SV_v2.1_DEL_4_46396)",4:70123650-70232337,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"4q13.2 population region (gnomAD-SV_v2.1_DEL_4_46398)",4:70123999-70171300,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"4q13.2 population region (gnomAD-SV_v2.1_DEL_4_46399)",4:70126481-70235359,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"4q13.2 population region (gnomAD-SV_v2.1_DEL_4_46401)",4:70138063-70247165,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"4q13.2 population region (gnomAD-SV_v2.1_DEL_4_46404)",4:70152039-70261334,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"4q13.3 population region (DGV_Gold_Standard_June_2021_gssvL91223)",4:75282628-75323181,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"4q13.3 population region (gnomAD-SV_v2.1_DEL_4_46744)",4:75315999-75323000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"4q13.3 population region (gnomAD-SV_v2.1_DEL_4_46753)",4:75483999-75493000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"5p15 terminal (Cri du chat syndrome) region",5:37693-11347262,"3 (Sufficient Evidence)","2 (Emerging Evidence)",,,‐,‐,‐,06/21/2016
R,"5p15.33 population region (DGV_Gold_Standard_June_2021_gssvG29169)",5:814446-825367,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/05/2021
R,"5q13.2 population region (DGV_Gold_Standard_June_2021_gssvG30124)",5:69316084-69343660,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/05/2021
R,"5q13.2 population region (gnomAD-SV_v2.1_DEL_5_58897)",5:70312999-70365100,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"5q13.2 population region (gnomAD-SV_v2.1_DEL_5_58900)",5:70326999-70335700,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"5q13.2 population region (gnomAD-SV_v2.1_DUP_5_15350)",5:69305399-69369100,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/12/2021
R,"5q13.2 population region (gnomAD-SV_v2.1_DUP_5_15442)",5:70324499-70404000,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/12/2021
R,"5q22.1 population region (DGV_Gold_Standard_June_2021_gssvL101506)",5:110905931-110911040,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"5q31.3 population region (DGV_Gold_Standard_June_2021_gssvG31070)",5:140554513-140560187,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/16/2021
R,"5q31.3 population region (DGV_Gold_Standard_June_2021_gssvL102648)",5:140096767-140104053,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"5q31.3 population region (gnomAD-SV_v2.1_DEL_5_63328)",5:140222136-140238931,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"5q35 recurrent (Sotos syndrome) region (includes NSD1)",5:175728979-177047793,"3 (Sufficient Evidence)","3 (Sufficient Evidence)",,,‐,‐,‐,04/10/2014
R,"5q35.3 population region (DGV_Gold_Standard_June_2021_gssvL104164)",5:178348352-178353194,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/06/2021
R,"5q35.3 population region (DGV_Gold_Standard_June_2021_gssvL104429)",5:180591001-180596624,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"5q35.3 population region (gnomAD-SV_v2.1_DEL_5_65831)",5:180375131-180430626,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"5q35.3 population region (gnomAD-SV_v2.1_DEL_5_65880)",5:180787999-180857000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"6p21.32 population region (DGV_Gold_Standard_June_2021_gssvL106264)",6:32475856-32514239,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"6p21.32 population region (DGV_Gold_Standard_June_2021_gssvL106269)",6:32516836-32541693,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"6p21.32 population region (DGV_Gold_Standard_June_2021_gssvL106271)",6:32627550-32648423,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"6p22.1 population region (DGV_Gold_Standard_June_2021_gssvL105924)",6:29892560-29905834,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"6p22.1 population region (DGV_Gold_Standard_June_2021_gssvL105927)",6:29837200-29849273,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"6p25.3 population region (DGV_Gold_Standard_June_2021_gssvL104460)",6:83824-202184,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"6q13 population region (DGV_Gold_Standard_June_2021_gssvG32688)",6:74707825-74718498,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/05/2021
R,"6q13 population region (DGV_Gold_Standard_June_2021_gssvG32691)",6:74708884-74717014,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/05/2021
R,"6q24 region (includes PLAGL1)","6:144243292 -144416561","1 (Little Evidence)","3 (Sufficient Evidence)",,,‐,‐,‐,05/24/2016
R,"7p11.2 population region (DGV_Gold_Standard_June_2021_gssvL115697)",7:57062764-57088685,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"7p14.1 population region (DGV_Gold_Standard_June_2021_gssvL115094)",7:38386563-38397743,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"7p22.1 population region (DGV_Gold_Standard_June_2021_gssvL113541)",7:6900773-6923243,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"7p22.1 population region (gnomAD-SV_v2.1_DEL_7_77765)",7:5940999-5953000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"7p22.1 population region (gnomAD-SV_v2.1_DEL_7_77769)",7:5976999-5982000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"7p22.1 population region (gnomAD-SV_v2.1_DEL_7_77893)",7:6818999-6827200,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"7q11.21 population region (DGV_Gold_Standard_June_2021_gssvL115987)",7:62687315-62723648,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"7q11.21 population region (DGV_Gold_Standard_June_2021_gssvL116036)",7:62963166-62979392,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"7q11.21 population region (gnomAD-SV_v2.1_DEL_7_81890)",7:65110999-65144000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"7q11.23 population region (DGV_Gold_Standard_June_2021_gssvL116711)",7:74378312-74480711,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"7q11.23 population region (gnomAD-SV_v2.1_DEL_7_82621)",7:74223499-74230000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"7q11.23 population region (gnomAD-SV_v2.1_DEL_7_82636)",7:74420999-74428000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"7q11.23 population region (gnomAD-SV_v2.1_DEL_7_82637)",7:74452999-74459200,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"7q11.23 population region (gnomAD-SV_v2.1_DEL_7_82638)",7:74468999-74476300,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"7q11.23 recurrent (Williams-Beuren syndrome) region (includes ELN)",7:72744455-74142510,"3 (Sufficient Evidence)","3 (Sufficient Evidence)",,,‐,‐,‐,08/06/2015
R,"7q11.23 recurrent distal region (includes HIP1, YWHAG)",7:75158048-76063176,"2 (Emerging Evidence)","1 (Little Evidence)",,,‐,‐,‐,12/31/2018
R,"7q22.1 population region (DGV_Gold_Standard_June_2021_gssvL117874)",7:101968967-102022209,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"7q22.1 population region (gnomAD-SV_v2.1_DEL_7_84190)",7:99461390-99463562,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"7q22.1 population region (gnomAD-SV_v2.1_DEL_7_84412)",7:102300999-102331000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/12/2021
R,"7q34 population region (DGV_Gold_Standard_June_2021_gssvL119360)",7:142133273-142170344,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"7q34 population region (DGV_Gold_Standard_June_2021_gssvL119369)",7:142099063-142108894,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"7q34 population region (DGV_Gold_Standard_June_2021_gssvL119380)",7:142460176-142482236,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"7q34 population region (DGV_Gold_Standard_June_2021_gssvL119381)",7:142461276-142474923,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"7q34 population region (gnomAD-SV_v2.1_DEL_7_87015)",7:141754993-141780979,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/11/2021
R,"7q34 population region (gnomAD-SV_v2.1_DEL_7_87016)",7:141765424-141794499,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/11/2021
R,"7q35 population region (DGV_Gold_Standard_June_2021_gssvG35898)",7:143884211-143930465,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/05/2021
R,"7q35 population region (DGV_Gold_Standard_June_2021_gssvL119429)",7:143880615-144075919,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"7q35 population region (gnomAD-SV_v2.1_DEL_7_87112)",7:143408999-143417500,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/11/2021
R,"7q36.1 population region (DGV_Gold_Standard_June_2021_gssvL119849)",7:150286146-150307909,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/05/2021
R,"7q36.3 ZRS (SHH cis-regulatory) duplication region (within LMBR1 intron 5)",7:156583796-156584568,"0 (No Evidence)","3 (Sufficient Evidence)",,,‐,‐,‐,02/15/2018
R,"8p23.1 population region (DGV_Gold_Standard_June_2021_gssvG36607)",8:7110945-7157807,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/05/2021
R,"8p23.1 population region (DGV_Gold_Standard_June_2021_gssvG36608)",8:6828736-6878156,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/05/2021
R,"8p23.1 population region (DGV_Gold_Standard_June_2021_gssvG36644)",8:7212582-7227421,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/05/2021
R,"8p23.1 population region (gnomAD-SV_v2.1_DEL_8_89353)",8:7736499-7764500,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/11/2021
R,"8p23.1 population region (gnomAD-SV_v2.1_DEL_8_89355)",8:7744999-7754100,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/11/2021
R,"8p23.1 population region (gnomAD-SV_v2.1_DEL_8_89356)",8:7798999-7824100,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/11/2021
R,"8p23.1 population region (gnomAD-SV_v2.1_DEL_8_89357)",8:7806249-7812100,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/11/2021
R,"8p23.1 population region (gnomAD-SV_v2.1_DEL_8_89703)",8:11903999-11926000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/11/2021
R,"8p23.1 population region (gnomAD-SV_v2.1_DEL_8_89706)",8:11961999-11968000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/11/2021
R,"8p23.1 population region (gnomAD-SV_v2.1_DEL_8_89725)",8:12291199-12311050,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/11/2021
R,"8p23.1 population region (gnomAD-SV_v2.1_DUP_8_23708)",8:7736999-7743100,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/17/2021
R,"8p23.1 population region (gnomAD-SV_v2.1_DUP_8_23819)",8:12251799-12297400,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/11/2021
R,"8p23.1 region (DEFB gene cluster)",8:7053186-8130689,"40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,03/12/2014
R,"8p23.3 population region (gnomAD-SV_v2.1_DEL_8_88399)",8:25899-33100,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/11/2021
R,"8p23.3 population region (gnomAD-SV_v2.1_DEL_8_88408)",8:116099-129200,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/11/2021
R,"8q24.3 population region (gnomAD-SV_v2.1_DEL_8_98283)",8:145312849-145332400,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/11/2021
R,"8q24.3 population region (gnomAD-SV_v2.1_DEL_8_98285)",8:145479999-145502750,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"9p11.1 population region (gnomAD-SV_v2.1_DEL_9_102297)",9:47307099-47317679,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/11/2021
R,"9p11.2 population region (DGV_Gold_Standard_June_2021_gssvG38779)",9:44283472-44840754,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",,,‐,‐,‐,08/05/2021
R,"9p11.2 population region (gnomAD-SV_v2.1_DEL_9_102024)",9:43622999-43708000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/11/2021
R,"9p11.2 population region (gnomAD-SV_v2.1_DEL_9_102025)",9:43623999-43631000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"9p11.2 population region (gnomAD-SV_v2.1_DEL_9_102027)",9:43628499-43647400,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"9p11.2 population region (gnomAD-SV_v2.1_DEL_9_102032)",9:43708999-43728000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
R,"9p11.2 population region (gnomAD-SV_v2.1_DEL_9_102035)",9:43723999-43739000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/11/2021
R,"9p11.2 population region (gnomAD-SV_v2.1_DEL_9_102036)",9:43733799-43739000,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",,,‐,‐,‐,08/17/2021
